Location,Year,Replication,Genotype,Days_to_Silking
Loc1,2025,1,G11,53.65
Loc1,2025,1,G12,52.87
Loc1,2025,1,G13,55.57
Loc1,2025,1,G14,55.88
Loc1,2025,1,G15,56.81
Loc1,2025,1,G16,56.35
Loc1,2025,1,G17,56.73
Loc1,2025,1,G18,56.94
Loc1,2025,1,G19,57.57
Loc1,2025,1,G20,59.32
Loc1,2025,2,G01,53.39
Loc1,2025,2,G02,54.5
Loc1,2025,2,G03,54.1
Loc1,2025,2,G04,55.11
Loc1,2025,2,G05,52.53
Loc1,2025,2,G06,55.36
Loc1,2025,2,G07,56.51
Loc1,2025,2,G08,56.59
Loc1,2025,2,G09,56.18
Loc1,2025,2,G10,57.1
Loc1,2025,2,G11,55.69
Loc1,2025,2,G12,55.69
Loc1,2025,2,G13,56.51
Loc1,2025,2,G14,56.52
Loc1,2025,2,G15,56.49
Loc1,2025,2,G16,59.72
Loc1,2025,2,G17,57.96
Loc1,2025,2,G18,59.9
Loc1,2025,2,G19,63.07
Loc1,2025,2,G20,57.96
Loc1,2025,3,G01,51.33
Loc1,2025,3,G02,52.95
Loc1,2025,3,G03,52.82
Loc1,2025,3,G04,53.56
Loc1,2025,3,G05,56.26
Loc1,2025,3,G06,55.66
Loc1,2025,3,G07,52.31
Loc1,2025,3,G08,54.87
Loc1,2025,3,G09,55.66
Loc1,2025,3,G10,55.39
Loc1,2025,3,G11,53.33
Loc1,2025,3,G12,54.79
Loc1,2025,3,G13,55.69
Loc1,2025,3,G14,55.67
Loc1,2025,3,G15,56.87
Loc1,2025,3,G16,54.76
Loc1,2025,3,G17,59.83
Loc1,2025,3,G18,57.88
Loc1,2025,3,G19,59.61
Loc1,2025,3,G20,57.6
Loc2,2023,1,G01,55.96
Loc2,2023,1,G02,53.48
Loc2,2023,1,G03,56.91
Loc2,2023,1,G04,53.63
Loc2,2023,1,G05,55.13
Loc2,2023,1,G06,55.27
Loc2,2023,1,G07,56.58
Loc2,2023,1,G08,58.5
Loc2,2023,1,G09,56.82
Loc2,2023,1,G10,59.56
Loc2,2023,1,G11,57.28
Loc2,2023,1,G12,60.43
Loc2,2023,1,G13,55.66
Loc2,2023,1,G14,59.15
Loc2,2023,1,G15,59.48
Loc2,2023,1,G16,58.87
Loc2,2023,1,G17,56.62
Loc2,2023,1,G18,58.73
Loc2,2023,1,G19,60.23
Loc2,2023,1,G20,61.8
Loc2,2023,2,G01,54.57
Loc2,2023,2,G02,55.46
Loc2,2023,2,G03,59.47
Loc2,2023,2,G04,55.12
Loc2,2023,2,G05,57.88
Loc2,2023,2,G06,54.12
Loc2,2023,2,G07,56.32
Loc2,2023,2,G08,56
Loc2,2023,2,G09,57.35
Loc2,2023,2,G10,57.68
Loc2,2023,2,G11,58.24
Loc2,2023,2,G12,59.38
Loc2,2023,2,G13,57.57
Loc2,2023,2,G14,56.99
Loc2,2023,2,G15,57.39
Loc2,2023,2,G16,58.78
Loc2,2023,2,G17,60.46
Loc2,2023,2,G18,58.43
Loc2,2023,2,G19,61.35
Loc2,2023,2,G20,58.92
Loc2,2023,3,G01,52.38
Loc2,2023,3,G02,52.37
Loc2,2023,3,G03,53.29
Loc2,2023,3,G04,52.97
Loc2,2023,3,G05,52.4
Loc2,2023,3,G06,55.08
Loc2,2023,3,G07,54.99
Loc2,2023,3,G08,53.67
Loc2,2023,3,G09,55.55
Loc2,2023,3,G10,53.89
Loc2,2023,3,G11,57.35
Loc2,2023,3,G12,56.96
Loc2,2023,3,G13,59.72
Loc2,2023,3,G14,56.56
Loc2,2023,3,G15,57.48
Loc2,2023,3,G16,58.4
Loc2,2023,3,G17,59.63
Loc2,2023,3,G18,57.59
Loc2,2023,3,G19,59.72
Loc2,2023,3,G20,56.59
Loc2,2024,1,G01,54.86
Loc2,2024,1,G02,52.51
Loc2,2024,1,G03,55.1
Loc2,2024,1,G04,52.74
Loc2,2024,1,G05,53.83
Loc2,2024,1,G06,55.03
Loc2,2024,1,G07,56.84
Loc2,2024,1,G08,52.5
Loc2,2024,1,G09,55.59
Loc2,2024,1,G10,55.62
Loc2,2024,1,G11,57.54
Loc2,2024,1,G12,55.93
Loc2,2024,1,G13,55.9
Loc2,2024,1,G14,58.71
Loc2,2024,1,G15,57.68
Loc2,2024,1,G16,57.8
Loc2,2024,1,G17,59.35
Loc2,2024,1,G18,56.32
Loc2,2024,1,G19,58.48
Loc2,2024,1,G20,59.85
Loc2,2024,2,G01,57.25
Loc2,2024,2,G02,53.15
Loc2,2024,2,G03,55.38
Loc2,2024,2,G04,54.6
Loc2,2024,2,G05,55.19
Loc2,2024,2,G06,57.84
Loc2,2024,2,G07,55.59
Loc2,2024,2,G08,59.39
Loc2,2024,2,G09,58.43
Loc2,2024,2,G10,59.55
Loc2,2024,2,G11,59.7
Loc2,2024,2,G12,57.53
Loc2,2024,2,G13,60.12
Loc2,2024,2,G14,60.89
Loc2,2024,2,G15,59.89
Loc2,2024,2,G16,60.72
Loc2,2024,2,G17,61.2
Loc2,2024,2,G18,59.3
Loc2,2024,2,G19,60.69
Loc2,2024,2,G20,59.84
Loc2,2024,3,G01,53.2
Loc2,2024,3,G02,58.18
Loc2,2024,3,G03,53.48
Loc2,2024,3,G04,57.77
Loc2,2024,3,G05,58.91
Loc2,2024,3,G06,55.97
Loc2,2024,3,G07,56.15
Loc2,2024,3,G08,59.11
Loc2,2024,3,G09,55.84
Loc2,2024,3,G10,58.43
Loc2,2024,3,G11,59.18
Loc2,2024,3,G12,59
Loc2,2024,3,G13,60.45
Loc2,2024,3,G14,57.15
Loc2,2024,3,G15,60.9
Loc2,2024,3,G16,59.96
Loc2,2024,3,G17,60.76
Loc2,2024,3,G18,58.98
Loc2,2024,3,G19,58.95
Loc2,2024,3,G20,58.58
Loc2,2025,1,G01,59.36
Loc2,2025,1,G02,59.89
Loc2,2025,1,G03,60.09
Loc2,2025,1,G04,57.87
Loc2,2025,1,G05,58.64
Loc2,2025,1,G06,58.83
Loc2,2025,1,G07,61.19
Loc2,2025,1,G08,60.18
Loc2,2025,1,G09,57.45
Loc2,2025,1,G10,61.41
Loc2,2025,1,G11,61.71
Loc2,2025,1,G12,63.03
Loc2,2025,1,G13,63.21
Loc2,2025,1,G14,63.7
Loc2,2025,1,G15,62.67
Loc2,2025,1,G16,61
Loc2,2025,1,G17,61.03
Loc2,2025,1,G18,62.51
Loc2,2025,1,G19,64.45
Loc2,2025,1,G20,64.33
Loc2,2025,2,G01,59.38
Loc2,2025,2,G02,58.12
Loc2,2025,2,G03,60.2
Loc2,2025,2,G04,59.5
Loc2,2025,2,G05,60.84
Loc2,2025,2,G06,60.2
Loc2,2025,2,G07,62.01
Loc2,2025,2,G08,61.82
Loc2,2025,2,G09,60.65
Loc2,2025,2,G10,61.7
Loc2,2025,2,G11,60.77
Loc2,2025,2,G12,61.49
Loc2,2025,2,G13,64.42
Loc2,2025,2,G14,62.12
Loc2,2025,2,G15,65.16
Loc2,2025,2,G16,65.39
Loc2,2025,2,G17,63.42
Loc2,2025,2,G18,65.36
Loc2,2025,2,G19,64.28
Loc2,2025,2,G20,65.69
Loc2,2025,3,G01,55.54
Loc2,2025,3,G02,55.65
Loc2,2025,3,G03,56.87
Loc2,2025,3,G04,55.17
Loc2,2025,3,G05,54.73
Loc2,2025,3,G06,57.21
Loc2,2025,3,G07,57.45
Loc2,2025,3,G08,59.17
Loc2,2025,3,G09,58.29
Loc2,2025,3,G10,58.3
Loc2,2025,3,G11,59.56
Loc2,2025,3,G12,58.07
Loc2,2025,3,G13,60.98
Loc2,2025,3,G14,58.09
Loc2,2025,3,G15,58.12
Loc2,2025,3,G16,59.43
Loc2,2025,3,G17,58.83
Loc2,2025,3,G18,62.67
Loc2,2025,3,G19,62.62
Loc2,2025,3,G20,64.59
Loc3,2023,1,G01,57.33
Loc3,2023,1,G02,58.86
Loc3,2023,1,G03,58.16
Loc3,2023,1,G04,58.71
Loc3,2023,1,G05,59.82
Loc3,2023,1,G06,56.34
Loc3,2023,1,G07,60.74
Loc3,2023,1,G08,62.24
Loc3,2023,1,G09,59.99
Loc3,2023,1,G10,60.27
Loc3,2023,1,G11,59.26
Loc3,2023,1,G12,59.85
Loc3,2023,1,G13,63.36
Loc3,2023,1,G14,60.26
Loc3,2023,1,G15,60.16
Loc3,2023,1,G16,60.78
Loc3,2023,1,G17,60.19
Loc3,2023,1,G18,61.37
Loc3,2023,1,G19,63.82
Loc3,2023,1,G20,64.4
Loc3,2023,2,G01,57.86
Loc3,2023,2,G02,56.89
Loc3,2023,2,G03,57.72
Loc3,2023,2,G04,59.63
Loc3,2023,2,G05,60.25
Loc3,2023,2,G06,60.96
Loc3,2023,2,G07,59.65
Loc3,2023,2,G08,58.31
Loc3,2023,2,G09,60.53
Loc3,2023,2,G10,58.5
Loc3,2023,2,G11,61.3
Loc3,2023,2,G12,61.71
Loc3,2023,2,G13,62.64
Loc3,2023,2,G14,61.45
Loc3,2023,2,G15,65.06
Loc3,2023,2,G16,61.8
Loc3,2023,2,G17,61.41
Loc3,2023,2,G18,65.41
Loc3,2023,2,G19,62.91
Loc3,2023,2,G20,63.43
Loc3,2023,3,G01,61.47
Loc3,2023,3,G02,60.78
Loc3,2023,3,G03,59.92
Loc3,2023,3,G04,61.51
Loc3,2023,3,G05,61.65
Loc3,2023,3,G06,60.86
Loc3,2023,3,G07,63.05
Loc3,2023,3,G08,62.57
Loc3,2023,3,G09,62.98
Loc3,2023,3,G10,62.38
Loc3,2023,3,G11,65.4
Loc3,2023,3,G12,62.56
Loc3,2023,3,G13,63.78
Loc3,2023,3,G14,64.04
Loc3,2023,3,G15,66.01
Loc3,2023,3,G16,67.51
Loc3,2023,3,G17,66.43
Loc3,2023,3,G18,69.09
Loc3,2023,3,G19,64.32
Loc3,2023,3,G20,65.8
Loc3,2024,1,G01,58.51
Loc3,2024,1,G02,56.92
Loc3,2024,1,G03,58.29
Loc3,2024,1,G04,56.35
Loc3,2024,1,G05,61.03
Loc3,2024,1,G06,60.99
Loc3,2024,1,G07,59.53
Loc3,2024,1,G08,60.64
Loc3,2024,1,G09,61.3
Loc3,2024,1,G10,58.84
Loc3,2024,1,G11,62.67
Loc3,2024,1,G12,61.45
Loc3,2024,1,G13,61.04
Loc3,2024,1,G14,59.9
Loc3,2024,1,G15,64.35
Loc3,2024,1,G16,63.41
Loc3,2024,1,G17,66.18
Loc3,2024,1,G18,64.72
Loc3,2024,1,G19,65.13
Loc3,2024,1,G20,65.53
Loc3,2024,2,G01,60.82
Loc3,2024,2,G02,59.56
Loc3,2024,2,G03,61.1
Loc3,2024,2,G04,62.73
Loc3,2024,2,G05,65.22
Loc3,2024,2,G06,59.26
Loc3,2024,2,G07,61.47
Loc3,2024,2,G08,64.12
Loc3,2024,2,G09,62.84
Loc3,2024,2,G10,60.53
Loc3,2024,2,G11,63.21
Loc3,2024,2,G12,62.04
Loc3,2024,2,G13,64.9
Loc3,2024,2,G14,65.13
Loc3,2024,2,G15,62.41
Loc3,2024,2,G16,62.3
Loc3,2024,2,G17,67.93
Loc3,2024,2,G18,68.43
Loc3,2024,2,G19,66.65
Loc3,2024,2,G20,67.63
Loc3,2024,3,G01,61.82
Loc3,2024,3,G02,62.35
Loc3,2024,3,G03,63.54
Loc3,2024,3,G04,64.91
Loc3,2024,3,G05,63.78
Loc3,2024,3,G06,61.04
Loc3,2024,3,G07,62.04
Loc3,2024,3,G08,64.5
Loc3,2024,3,G09,66.54
Loc3,2024,3,G10,63.3
Loc3,2024,3,G11,62.84
Loc3,2024,3,G12,65.12
Loc3,2024,3,G13,64.41
Loc3,2024,3,G14,64.57
Loc3,2024,3,G15,69.36
Loc3,2024,3,G16,69.68
Loc3,2024,3,G17,64.58
Loc3,2024,3,G18,66.05
Loc3,2024,3,G19,67.1
Loc3,2024,3,G20,68.12
Loc3,2025,1,G01,60.4
Loc3,2025,1,G02,60.82
Loc3,2025,1,G03,63.35
Loc3,2025,1,G04,62.23
Loc3,2025,1,G05,61.2
Loc3,2025,1,G06,62.98
Loc3,2025,1,G07,64.64
Loc3,2025,1,G08,61.89
Loc3,2025,1,G09,63.13
Loc3,2025,1,G10,64.2
Loc3,2025,1,G11,64.98
Loc3,2025,1,G12,67.32
Loc3,2025,1,G13,64.69
Loc3,2025,1,G14,61.42
Loc3,2025,1,G15,65.98
Loc3,2025,1,G16,66.38
Loc3,2025,1,G17,66.43
Loc3,2025,1,G18,64.86
Loc3,2025,1,G19,65.88
Loc3,2025,1,G20,67.82
Loc3,2025,2,G01,60.9
Loc3,2025,2,G02,60.27
Loc3,2025,2,G03,59.22
Loc3,2025,2,G04,60.88
Loc3,2025,2,G05,61.56
Loc3,2025,2,G06,63.81
Loc3,2025,2,G07,60.66
Loc3,2025,2,G08,61.11
Loc3,2025,2,G09,62.08
Loc3,2025,2,G10,61.18
Loc3,2025,2,G11,63.65
Loc3,2025,2,G12,61.4
Loc3,2025,2,G13,63.24
Loc3,2025,2,G14,62.33
Loc3,2025,2,G15,65.11
Loc3,2025,2,G16,65.27
Loc3,2025,2,G17,66.7
Loc3,2025,2,G18,63.71
Loc3,2025,2,G19,64.99
Loc3,2025,2,G20,65.58
Loc3,2025,3,G01,56.92
Loc3,2025,3,G02,59.99
Loc3,2025,3,G03,59.21
Loc3,2025,3,G04,61.28
Loc3,2025,3,G05,58.16
Loc3,2025,3,G06,61.35
Loc3,2025,3,G07,60.9
Loc3,2025,3,G08,61.87
Loc3,2025,3,G09,63.04
Loc3,2025,3,G10,60.47
Loc3,2025,3,G11,62.77
Loc3,2025,3,G12,64.75
Loc3,2025,3,G13,61.68
Loc3,2025,3,G14,63.59
Loc3,2025,3,G15,65.04
Loc3,2025,3,G16,64.74
Loc3,2025,3,G17,63.46
Loc3,2025,3,G18,65.44
Loc3,2025,3,G19,63.24
Loc3,2025,3,G20,65.07
