VRT,FORM,LVL,REP,ADMOR1,ADMOR5,ADMOR10,ADMOR15,ADMOR21,ADMOR28,OVI58,OVI65,DMGSEED58,DMGSEED65,WGHTLOSS58,WGHTLOSS65,IR58,IR65,GRM
2,2,3,1,0,2,0,0,1,4,8,9,54.8,61.3,20,20,-300.0,-125.0,0
3,2,3,1,1,1,1,1,0,0,28,28,61.1,77.8,20,20,-64.7,-47.4,0
4,2,3,1,0,0,1,1,0,0,14,17,36.8,44.7,20,20,50.0,46.9,0
1,2,4,1,1,1,2,0,0,0,8,11,47.8,60.9,0,0,50.0,56.0,0
2,2,4,1,0,1,0,1,1,0,16,19,45.2,51.6,20,20,-700.0,-375.0,10
3,2,4,1,0,1,2,0,1,1,10,11,61.1,66.7,20,20,41.2,42.1,0
4,2,4,1,0,1,0,1,0,2,16,20,52.6,68.4,40,60,42.9,37.5,0
1,1,1,2,0,0,0,1,1,2,23,26,65.2,78.3,20,20,0.0,0.0,0
2,1,1,2,0,0,0,0,1,0,18,18,77.4,77.4,20,20,0.0,0.0,0
3,1,1,2,0,1,1,1,0,0,20,20,72.3,89.9,20,20,0.0,0.0,0
4,1,1,2,0,0,2,0,0,4,6,5,39.8,42.5,0,20,0.0,0.0,0
1,1,2,2,0,0,0,2,1,2,12,17,52.2,65.2,20,40,47.8,34.6,0
2,1,2,2,0,0,0,1,1,1,23,24,51.6,67.7,40,40,-27.8,-33.3,0
3,1,2,2,0,1,0,0,0,1,5,10,76.8,77.6,40,40,71.5,58.1,0
4,1,2,2,0,0,1,0,0,0,33,34,66.8,73.8,40,40,-542.0,-605.0,0
1,1,3,2,0,0,0,1,1,0,9,11,52.2,56.5,0,0,60.9,57.7,0
2,1,3,2,0,0,0,0,1,2,25,28,45.2,58.1,20,20,-38.9,-55.6,0
3,1,3,2,0,0,1,0,0,2,13,16,55.8,65.7,0,20,43.0,28.8,0
4,1,3,2,0,0,2,0,0,0,21,27,56.5,61.5,60,60,-305.0,-425.0,0
1,1,4,2,0,0,0,0,1,1,12,13,56.5,56.5,20,20,47.8,50.0,0
2,1,4,2,0,0,0,0,1,0,15,16,45.2,45.2,20,20,16.7,11.1,0
3,1,4,2,0,1,1,1,0,1,25,29,78.8,100.0,20,20,-24.5,-34.5,0
4,1,4,2,0,0,3,0,0,0,26,27,48.4,55.8,40,40,-405.0,-430.0,0
1,2,1,2,0,0,0,1,0,0,13,24,43.5,65.2,20,40,0.0,0.0,0
2,2,1,2,0,0,0,0,0,0,22,23,32.3,58.1,20,40,0.0,0.0,0
3,2,1,2,0,1,2,1,1,1,18,18,83.7,94.7,20,20,0.0,0.0,0
4,2,1,2,0,1,1,1,1,0,27,33,66.2,79.1,20,40,0.0,0.0,0
1,2,2,2,0,1,0,0,1,4,0,4,4.3,4.3,0,0,100.0,83.3,0
2,2,2,2,0,0,0,1,0,0,19,22,61.3,61.3,20,20,13.6,4.3,0
3,2,2,2,0,0,2,1,0,4,17,18,56.6,66.9,0,20,6.9,5.5,0
4,2,2,2,0,0,1,0,0,0,41,41,79.8,92.5,40,60,-42.7,-27.0,0
1,2,3,2,0,0,0,0,1,2,22,21,39.1,82.6,20,20,-69.2,12.5,0
2,2,3,2,0,0,0,0,0,0,23,24,48.4,51.6,20,20,-4.5,-4.3,0
3,2,3,2,1,1,1,1,0,0,27,27,63.1,78.8,20,20,-65.7,-48.4,0
4,2,3,2,0,0,1,1,0,0,15,18,37.8,45.7,20,20,55.0,48.9,0
1,2,4,2,0,0,0,0,0,0,7,8,30.4,43.5,0,0,46.2,66.7,0
2,2,4,2,0,0,0,0,0,0,20,21,64.5,70.9,20,20,9.1,8.7,0
3,2,4,2,0,1,2,0,1,1,12,12,61.8,67.7,20,20,41.9,42.5,0
4,2,4,2,0,1,0,1,0,2,17,21,53.6,68.9,40,60,43.9,38.5,0
1,1,1,3,0,0,0,1,2,3,10,11,52.2,60.9,60,60,0.0,0.0,0
2,1,1,3,0,2,1,2,0,0,23,27,58.1,70.9,40,60,0.0,0.0,0
3,1,1,3,0,1,1,1,0,0,21,21,72.2,88.9,20,20,0.0,0.0,0
4,1,1,3,0,0,2,0,0,4,5,5,39.5,42.1,0,20,0.0,0.0,0
1,1,2,3,0,0,0,0,1,1,2,2,34.8,39.1,20,20,80.0,81.8,0
2,1,2,3,1,1,0,1,0,2,24,29,83.9,90.3,20,20,-4.3,-7.4,0
3,1,2,3,0,1,0,0,0,1,6,9,77.8,77.8,40,40,71.4,57.1,0
4,1,2,3,0,0,1,0,0,0,32,35,65.8,73.7,40,40,-540.0,-600.0,0
1,1,3,3,0,0,0,0,0,0,2,3,21.7,30.4,0,0,80.0,72.7,0
2,1,3,3,0,0,1,0,0,1,20,23,58.1,67.7,20,20,13.0,14.8,0
3,1,3,3,0,0,1,0,0,2,12,15,55.6,66.7,0,20,42.9,28.6,0
4,1,3,3,0,0,2,0,0,0,20,26,57.9,60.5,60,60,-300.0,-420.0,0
1,1,4,3,0,0,0,0,1,1,20,22,56.5,60.9,20,40,-100.0,-100.0,0
2,1,4,3,0,0,1,0,2,1,28,31,67.7,77.4,40,40,-21.7,-14.8,0
3,1,4,3,0,1,1,1,0,1,26,28,77.8,100.0,20,20,-23.8,-33.3,0
4,1,4,3,0,0,3,0,0,0,25,26,47.4,55.3,40,40,-400.0,-420.0,0
1,2,1,3,0,0,0,1,0,0,5,4,17.4,21.7,0,20,0.0,0.0,0
2,2,1,3,0,1,1,0,1,0,2,4,9.7,9.7,0,0,0.0,0.0,0
3,2,1,3,0,1,2,1,1,1,17,19,83.3,94.4,20,20,0.0,0.0,0
4,2,1,3,0,1,1,1,1,0,28,32,65.8,78.9,20,40,0.0,0.0,0
1,2,2,3,0,0,0,1,0,0,15,22,73.9,78.3,40,40,-200.0,-450.0,0
2,2,2,3,0,0,2,0,1,0,18,20,45.2,48.4,20,20,-800.0,-400.0,0
3,2,2,3,0,0,2,1,0,4,16,18,55.6,66.7,0,20,5.9,5.3,0
4,2,2,3,0,0,1,0,0,0,40,40,78.9,92.1,40,60,-42.9,-25.0,0
1,2,3,3,0,0,0,1,1,2,6,11,21.7,39.1,20,20,-20.0,-175.0,0
2,2,3,3,0,2,0,0,1,4,8,9,54.8,61.3,20,20,-300.0,-125.0,0
3,2,3,3,1,1,1,1,0,0,28,28,61.1,77.8,20,20,-64.7,-47.4,0
4,2,3,3,0,0,1,1,0,0,14,17,36.8,44.7,20,20,50.0,46.9,0
1,2,4,3,0,0,0,1,0,0,14,17,39.1,52.2,0,0,-180.0,-325.0,0
2,2,4,3,0,1,0,1,1,0,16,19,45.2,51.6,20,20,-700.0,-375.0,10
3,2,4,3,0,1,2,0,1,1,10,11,61.1,66.7,20,20,41.2,42.1,0
4,2,4,3,0,1,0,1,0,2,16,20,52.6,68.4,40,60,42.9,37.5,0
